Αἰάκης	Æakès, (h.)
Εὐξενίδαι	les Euxénides ou descendants d'Euxénos
Εὐπάλιον	Eupalion (auj. Evpálio) (v.)
Εὐπείθης	Eupeithès, (h.)
Εὐρυάδης	Euryadès, (h.)
Εὐρυάλη	Euryalè, (f.)
Εὐρυάναξ	Euryanax, (h.)
Εὐρυβάτης	Eurybatès, (h.)
Εὐρυβίη	Eurybia, (f.)
Εὐρυβιάδης	Eurybiadès (Eurybiade)
Εὐρυδάμας	Eurydamas, (h.)
Εὐρυδίκη	Eurydikè (Eurydice)
Εὐρυκλείδης	Eurykleidès (descendant d'Euryklès)
Εὐρυκλύδων	vent d'orage du nord-est
Εὐρυκράτης	Eurykratès, (h.)
Εὐρυκρατίδης	Eurykratidès, (h.)
Εὐρυλέων	Euryléôn, (h.)
Εὐρυμέδουσα	Eurymédousa, (f.)
Εὐρυμέδων	Eurymédôn
Εὐρυμένης	Euryménès, (h.)
Εὐρυμίδης	fils ou descendant d'Eurymos
Εὐρυνόμη	Eurynomè, (f.)
Εὐρυπτόλεμος	Euryptolémos, (h.)
Εὐρυπύλη	Eurypylè, (f.)
Εὐρυπών	Eurypôn, (h.)
Εὐρυσθένης	Eurysthénès
Εὐρυσθεύς	Eurysthée
Εὐρυτίδης	descendant d'Eurytos (Iphitos)
Εὐρυτίων	Eurytiôn, (h.)
Εὐρυφῶν	Euryphôn, (h.)
Εὐρωπαῖος	d'Europe
Εὐρωπός	Eurôpos
Εὐρύβιος	Eurybios, (h.)
Εὐρύκλεια	fêtes en l'honneur d'Euryklès
Εὐρύλοχος	Eurylokhos, (h.)
Εὐρύμαχος	Eurymakhos, (h.)
Εὐρύνομος	Eurynomos
Εὐρύπυλος	Eurypylos, (h.)
Εὐρώπεια	Eurôpeia, (f.) ; l'Europe
Εὐσέβιος	Eusébios (Eusèbe)
Εὐστάθιος	Eustathios (Eustathe) (h.)
Εὐτείχης	Euteikhès, (h.)
Εὐτυχίδης	Eutykhidès, (h.)
Εὐτόλμιος	Eutolmios
Εὐτύχης	heureux, qui prospère, qui réussit, (heureux par la richesse) ; qui assure le bonheur de
Εὐφήμιος	Euphèmios, (h.)
Εὐφήτης	Euphètès, (h.)
Εὐφημίδης	le fils d'Euphèmos
Εὐφορίων	Euphoriôn
Εὐφράνωρ	Euphranôr, (h.)
Εὐφράτης	l'Euphrate (auj. al-Furāt, Evfrátis) (fl.) ; Euphratès, (h.)
Εὐχήνωρ	Eukhènôr, (h.)
Εὐχαρίδης	Eukharidès, (h.)
Εὔβιος	Eubios, (h.)
Εὔδαμος	Eudèmos, (h.)
Εὔδημος	Eudèmos, (h.)
Εὔηνος	Euhènos
Εὔθιππος	Euthippos, (h.)
Εὔιος	Euios, (h.)
Εὔμαιος	Eumæos (Eumée)
Εὔμαχος	Eumakhos, (h.)
Εὔνηος	Euneôs
Εὔνικος	Eunikos, (h.)
Εὔνους	qui a de bons sentiments, bienveillant
Εὔξεινος	le Pont-Euxin (la mer hospitalière)
Εὔρωπος	Eurôpos
Εὔσωρος	Eusôros, (h.)
Εὔτρησις	Eutrèsis
Εὖθυς	directement, droit ; tout de suite, aussitôt
Ζάγκλη	Zanklè
Ζάκυνθος	Zakynthos (auj. Zante ou Zákynthos) (île)
Ζάραξ	le Zarax, (mt. d’Eubée)
Ζέλεια	Zéleia, (v. de Troade)
Ζήνων	Zènôn (Zénon)
Ζήτης	Zètès
Ζαγρεύς	Zagrée
Ζακύνθιος	de Zakynthos
Ζαρβιηνός	Zarbiènos, (h.)
Ζαχαρίας	Zakharias (Zacharie)
Ζευξίδαμος	???? Renvoi sans Issue ????
Ζευξίδας	Zeuxidas
Ζευξίδημος	Zeuxidèmos, (h.)
Ζεφυρῖτις	Aphroditè de Zéphyrion
Ζεύγμα	tout ce qui sert à joindre, a unir
Ζηνοφάνης	Zènophanès, (h.)
Ζηνωνικός	de Zénon
Ζηνόδοτος	Zènodotos
Ζηνόθεμις	Zènothémis, (h.)
Ζωΐλος	Zôïlos (Zoïle)
Ζωπυρίων	Zôpyriôn, (h.)
Ζώϊλος	Zôïlos (Zoïle)
Ζῆθος	Zèthos
Θάλης	Thalès de Milet
Θάλλος	Thallos, (h.)
Θάλπιος	Thalpios
Θάμυρις	Thamyris
Θάσος	Thasos
Θάψακος	Thapsakos (auj. ruines près de Karkamış et Jarabulus) (v.)
Θέμιστος	réglé par les lois divines ou humaines
Θέογνις	Théognis
Θέρσανδρος	Thersandros, (h.)
Θέσπεια	Thespies (auj. ruines près de Thespiés) (v.)
Θέσπιος	au son divin ; qui émane des dieux, divin
Θέσπρωτος	de Thesprôtie
Θέσσαλος	Thessalos
Θέστη	Thestè
Θέστωρ	Thestôr, (h.)
Θέτις	Thétis
Θέων	Théôn, le coureur
Θέωρος	Théôros, (h.)
Θήβασδε	à Thèbes
Θήβη	Thèbè
Θήβηθεν	de Thèbes (en Béotie) ; de Thèbè (en Troade)
Θήβησιν	à Thèbes (en Béotie)
Θήρη	chasse des animaux sauvages, chasse ; butin de chasse, gibier, proie
Θήρων	Thèrôn
Θίβρων	Thibrôn
Θίσβη	Thisbè ou Thisbes (près de Kakosi) (v.)
Θαλάμαι	Thalames
Θαλίη	Thalia (Thalie)
Θαλλώ	fleurir, verdoyer ; faire fleurir ou verdoyer, faire croître
Θαλυσιάδης	fils de Thalysios
Θαλῆς	Thalès de Milet
Θαμάσιος	Thamasios
Θαργήλια	les Thargélies
Θαργηλιών	Thargèliôn
Θαρρελείδης	Tharréleidès, (h.)
Θαυμακίη	Thaumakia, (v.)
Θαύμας	Thaumas
Θεάγης	Théagès
Θεαίνετος	Théænétos, (h.)
Θεαγένης	Théagénès, (h.)
Θεανώ	Théanô, (f.)
Θεαρίδης	Théaridès, (h.)
Θεασίδης	Théasidès
Θειοδάμας	Théiodamas
Θεμίσκυρα	Thémiskyra
Θεμίσων	Thémisôn, (h.)
Θεμισκύρη	Thémiskyra
Θεμιστογένης	Thémistogénès, (h.)
Θεμιστοκλέης	Thémistoklès (Thémistocle)
Θεμιστοκλῆς	Thémistoklès (Thémistocle)
Θεμιστώ	Thémistô
Θεογένης	Théogénès
Θεοδέκτης	Théodektès
Θεοδωρίδας	Théodôridas, (h.)
Θεοδότη	Théodotè, (f.)
Θεοδότιος	de Théodotos
Θεοκλύμενος	Théoklyménos
Θεοκρίνης	Théokrinès, (h.)
Θεοκύδης	Théokydès, (h.)
Θεονόη	l'Intelligence divine ; Théonoè
Θεοξένια	fête en l’honneur d’Apollon, (à Pellène ou à Delphes)
Θεοφάνης	Théophanès, (h.)
Θερμαῖος	le golfe de Thermè (auj. golfe Thermaïque ou golfe de Thessalonique)
Θερμώδων	Thermôdôn, (fl.)
Θερσίλιον	le Thersilion
Θερσίλοχος	Thersilokhos, (h.)
Θερσίτης	Thersitès (Thersite)
Θεσπίευς	de Thespies
Θεσπιεύς	de Thespies
Θεσπιός	au son divin ; qui émane des dieux, divin
Θεσπρωτίς	fém. de Θεσπρωτός (de Thesprôtie)
Θεσπρωτοί	les Thesprôtes
Θεσπρωτός	de Thesprôtie
Θεσσαλία	Thessalie
Θεσσαλίς	de Thessalie, Thessalien
Θεσσαλιῶτις	Thessaliôtide
Θεσσαλονίκη	Thessalonikè (Thessalonique)
Θεστιάς	la fille de Thestios
Θεστορίδης	fils de Thestôr, Kalkhas (Calchas)
Θεόγνητος	Théognètos, (h.)
Θεόδοκος	???? Renvoi sans Issue ????
Θεόδωρος	Théodôros (Théodore)
Θεόλυτος	Théolytos, (h.)
Θεόμνηστος	Théomnèstos, (h.)
Θεόξενος	Théoxénos
Θεόπομπος	Théopompos (Théopompe)
Θεόπροπος	qui fait connaître la volonté des dieux ; messager envoyé pour consulter l'oracle
Θεότιμος	Théotimos, (h.)
Θεόφιλος	Théophilos, (h.)
Θεόφραστος	Théophrastos (Théophraste)
Θεόφρων	à l'esprit divin, d'une sagesse divine
Θηβαιεύς	Thébain
Θηβαικός	de Thèbes, Thébain
Θηβαῖος	de Thèbes, Thébain
Θηρίμαχος	Thèrimakhos, (h.)
Θηραμένης	Thèraménès (Théramène)
Θηριμένης	Thèriménès, (h.)
Θηρώ	Thèrô, (f.)
Θησείδαι	les Théséïdes, ou descendants de Thésée
Θησεύς	Thésée
Θησεῖα	Thèseia
Θουκλῆς	Théoklès, (h.)
Θουκυδίδης	Thoukydidès (Thucydide)
Θουριάτης	de Thouria
Θουριοπέρσαι	les Thuriens à la poursuite des Perses
Θούδιππος	Thoudippos, (h.)
Θούμαντις	Thoumantis, (h.)
Θούριος	de Thurium
Θοώτης	Thoôtès
Θράκη	Thrace
Θράκιος	de Thrace
Θράσις	Thrasis, (h.)
Θράσυλλος	Thrasyllos ou Thrasylos
Θράσυλος	Thrasyllos ou Thrasylos
Θρασίος	Thrasios, Péonien
Θρασυβούλος	Thrasyboulos (Thrasybule)
Θρασυδήιος	Thrasydæos, (h.)
Θρασυδαίος	Thrasydæos, (h.)
Θρασυδαῖος	Thrasydæos, (h.)
Θρασυκλής	Thrasyklès, (h.)
Θρασυμηλίδας	Thrasymèlidas
Θρασύμηλος	Thrasymèlos, (h.)
Θριάσιος	du dème Thria
Θρινάκιος	de Sicile
Θρινακίη	l'île Thrinakiè
Θρυόεσσα	Thryoessa (remplie de jonc)
Θρόνιον	Thronion (près de Romani)
Θρᾳκίας	pierre de Thrace
Θρᾳκικός	de Thrace
Θρᾴκιος	de Thrace
Θρᾷξ	de Thrace, Thrace ; un Thrace
Θρῄκηθεν	de Thrace
Θρῄκηνδε	en Thrace
Θρῄκιος	de Thrace
Θυίη	Thyia
Θυβριάς	du Tibre
Θυεστιάδης	le fils de Thyeste (Égisthe)
Θυμαιτίς	du dème Thymætades
Θυμβραῖος	de Thymbra
Θυμοίτης	Thymœtès
Θυρέατις	la contrée de Thyréa
Θυρέη	Thyréa (auj. ruines près d'Ástros) (v.)
Θυρεάτις	la contrée de Thyréa
Θυσσαγέται	les Thyssagétes
Θυῖα	fête de Bacchus
Θυῖος	de thuia ou de citrus ; fait de thuia ou de citrus
Θωμᾶς	Thomas, (h.)
Θωρυκίων	Thôrykiôn, (h.)
Θόας	Thoas
Θόη	Thoè
Θόρναξ	Thornax
Θόων	Thoôn, (h.)
Θύαμις	Thyamis
Θύαμος	Thyamos
Θύσσος	Thyssos (près de Dhokhiori ou Zografu) (v.)
Θώρηξ	Thôrax, (h.)
Θῶνις	Thônis
Θῶραξ	partie du corps
Κάδυτις	Kadytis (Gaza, Ghuzzeh) (v.)
Κάλαμις	Kalamis
Κάλανος	Brahmane indien ; Kalanos (le Brahmane)
Κάλλαισχρος	Kallæskhros, (h.)
Κάλλινος	Kallinos
Κάλλιππος	Kallippos, (h.)
Κάλλιστος	Kallistos, (h.)
Κάλλων	Kallôn, (h.)
Κάλχας	Kalkhas (Calchas) aux pensées profondes
Κάμειρος	Kameiros (auj. Ferachio) (v.)
Κάμικος	Kamikos, (v.)
Κάναχος	bruyant, retentissant
Κάνηθος	Kanèthos, (h.)
Κάνθος	Kanthos, (h.)
Κάπνιος	de couleur fuligineuse
Κάπυς	Kapys, (h.)
Κάρηνος	Karènos, (h.)
Κάρησος	Karèsos, (fl.)
Κάριος	le Carien
Κάρνεια	fêtes d'Apollon Karneios
Κάρπαθος	Karpathos (auj. Kárpanthos, Scarpanto) (île)
Κάρπιος	qui se trouve au-dessus du poignet
Κάρπις	le Karpis, (fl.)
Κάρυαι	Karyes
Κάρυστος	Karystos (auj. Kárystos) (v.)
Κάσιος	du mont Kasios
Κάσος	Kasos (auj. Kásos)
Κάσπιος	de la région de la mer Caspienne
Κάσσανδρος	Kassandros Kasandros (Cassandre)
Κάσσιος	Cassius, (h. rom.)
Κάστωρ	Kastôr (Castor)
Κέβης	Kébès (Cébès)
Κέλτος	Keltos
Κέρβερος	Kerbéros (Cerbère)
Κέστρινος	muge ou mulet, (poisson)
Κήναιον	Kènæon (auj. cap Kíneo)
Κήρυκες	les Hérauts
Κήρυξ	toute personne qui annonce à haute voix
Κήτειοι	les Kèteies
Κήϋξ	Kèyx (Céyx)
Κίκονες	les Kikones
Κίλλα	Killa, (v.)
Κίμων	Kimôn (Cimon)
Κίνυψ	le Kinyps (auj. Wadi Ka'am ou Ka'am) (fl.) ; la région du Kinyps
Κίος	Kios, (fl.)
Κίτιον	Kition, (v.)
Καίκινος	Corace (fl.)
Καδμήιος	de Kadmos, cadméen
Καδμεῖος	de Kadmos, cadméen
Καδμηίς	de Kadmos, Cadméenne, Thébaine
Καικίλιος	Cæcilius, (h. rom.)
Καινεΐδης	le fils de Kænée
Καινεύς	Kænée
Καινόν	le Nouveau fort
Καισάρειος	affranchi de César, de l'empereur
Καλή	le Beau rivage
Καλήσιος	Kalèsios, (h.)
Καλαμίνθιος	Kalaminthios, friand de calament
Καλαυρεία	Kalaureia (auj. Poro) (île)
Καλαύρια	Kalaureia (auj. Poro) (île)
Καλητορίδης	le fils de Kalètôr
Καλλάτηβος	Kallatèbos, (v.)
Καλλίαναξ	Kallianax, (h.)
Καλλίαρος	Kalliaros, (v.)
Καλλίβιος	Kallibios, (h.)
Καλλίγειτος	Kalligeitos, (h.)
Καλλίγνωτος	Kallignôtos, (h.)
Καλλίης	Kallias, (h.)
Καλλίξενος	Kallixénos, (h.)
Καλλίστη	Kallistè (très belle) Théra
Καλλίστρατος	Kallistratos, (h.)
Καλλίχορον	Kallikhoron (aux belles danses)
Καλλιάδης	Kalliadès, (h.)
Καλλιάναξ	Kallianax, (h.)
Καλλιάνασσα	Kallianassa
Καλλιάνειρα	Kallianeira
Καλλιής	habitant de Kallion, (v.)
Καλλιγένης	Kalligénès (de belle naissance)
Καλλιγενεία	qui engendre de beaux rejetons, qui produit de belles choses
Καλλιδίκη	Kallidikè, (f.)
Καλλικράτης	Kallikratès, (h.)
Καλλικόλωνος	aux belles collines
Καλλιμέδων	Kallimédôn, (h.)
Καλλιπολῖται	les habitants de Kallipolis (Gallodoro)
Καλλιππίδης	Kallippidès
Καλλιπόλιται	les habitants de Kallipolis (Gallodoro)
Καλλιρρόη	Kallirrhoè
Καλλισθένης	Kallisthénès, (h.)
Καλλιστώ	Kallistô, (f.)
Καλλιτέλης	Kallitélès, (h.)
Καλλιφών	Kalliphôn, (h.)
Καλλιφῶν	Kalliphôn, (h.)
Καλλῖνος	Kallinos
Καλυδών	Kalydôn (Calydon) (v.)
Καλυδώνιος	de Calydon
Καλυνδικός	de Kalynda
Καλυψώ	Kalypsô (Calypso)
Καλύδναι	les Kalydnes, (île)
Καλύκη	Kalykè, (f.)
Καμάρινα	Kamarina
Καμαρίναιος	de Kamarina
Καμβύσης	Kambysès (Cambyse)
Καμειρός	Kameiros (auj. Ferachio) (v.)
Καμικός	Kamikos, (v.)
Καμπανοί	les Campaniens
Κανάκη	Kanakè
Κανάστραιος	de Kanastron
Κανίς	séparément de
Καννωνός	Kannônos, (h.)
Κανωβικός	de Canope
Καπάτων	Kapatôn
Καπίτων	Capiton
Καπανεύς	Kapanée
Καπανηϊάδης	le fils de Kapanée (Sthénélos)
Καπιτώλιος	du Capitole, Capitolin
Καππαδοκία	la Cappadoce
Καππαδοκίζω	être du parti des Cappadociens
Καρίων	méchant petit Carien
Καρανός	Karanos, (h.)
Καρδίη	Kardia (auj. Kardiya, près de Bolayır) (v.)
Καρδαμύλη	Kardamylè
Καρδοπίων	Kardopiôn, (h.)
Καρινός	Karinos, (h.)
Καρκίνιτις	Karkinitis (auj. Eupatoria ou Yevpatoria) (v.)
Καρμάνωρ	Karmanôr, (h.)
Καρνήιος	Karneios
Καρνίων	Karniôn, (fl.)
Καρνεάδης	Karnéadès (Carnéade)
Καρνεῖος	Karneios
Καρυᾶτις	de Karyes
Καρχηδόνιος	de Carthage, Carthaginois
Καρχηδών	Carthage (auj. Qarṭāj) (v.) ; Carthagène (la nouvelle Carthage) (v.)
Καρύστιος	de Karystos
Κασάνδρη	Kassandra Kasandra (Cassandre)
Κασθαναία	Kasthanæa, (v.)
Κασπάτυρος	Kaspatyros (auj. Caboul) (v.)
Κασσανδάνη	Kassandanè
Κασσιέπεια	Kassiépeia
Κασσιεπεία	Kassiépeia
Κασταλία	Kastalia (Castalie)
Καστιάνειρα	Kastianeira
Κατάνη	Katanè (Catane, Catania) (v.)
Καταγέλα	la ville de Katagéla ou de l'éclat de rire
Κατακεκαυμένη	la Terre brûlée
Καφήρευς	Kaphèrée (auj. Kafiréas ou Kávo Dóro)
Καύκασα	Kaukases
Καύκωνες	les Kaukônes
Καῦνος	Kaunos (auj. ruines près de Dalyan), (v.)
Κεάδης	fils de Kéas
Κεβρήν	Kébrène, (v.)
Κεβριόνης	Kébrionès
Κεδρεᾶτις	« la déesse du cèdre »
Κειτούκειτος	cela se trouve-t-il, oui ou non !
Κεκροπία	Kékropia (Cécropia)
Κεκροπίδαι	les Athéniens
Κεκροπίς	de Cécrops
Κεκρυφαλεία	Kékryphaleia
Κεκρόπιος	de Cécrops
Κελάδων	Kéladôn (le retentissant)
Κελέης	Kéléès
Κελαίνευς	Kélænée, (h.)
Κελαινώ	Kélænô
Κελτίς	Celtique
Κελτικός	de Celtique ou des Celtes
Κελτός	Celte ; Celtique
Κεραμεῖς	les Kéramées
Κερβέριοι	les Kerbéries
Κερεάλιος	Kéréalios
Κερησσός	Kérèssos
Κερκάσωρος	Kerkasôros, (v.)
Κερκίνη	Kerkinè
Κερκιδᾶς	Kerkidas, (h.)
Κερκυών	Kerkyôn
Κερκύων	Kerkyôn
Κερσοβλέπτης	Kersobleptès
Κεστρίνη	la Kestrine
Κεφάλων	Képhalôn, (h.)
Κεφαλλήν	Céphallénien
Κεφαλληνία	Képhallènia (auj. Kefaloniá, Céphalonie ou Kefallinía) (île)
Κεχηναῖοι	les Badauds
Κεῖος	de Kéos
Κηκείδης	Kèkeidès
Κηλεός	brûlant, ardent
Κηναῖος	de Kènæon
Κητώ	Kètô
Κηφίσιος	du Céphise
Κηφεύς	Kèphée
Κηφισίς	du Céphise
Κηφισιεύς	habitant ou originaire de Kèphisia
Κηφισοφῶν	Kèphisophôn, (h.)
Κηφισόδημος	Kèphisodèmos, (h.)
Κηφισόδοτος	Kèphisodotos, (h.)
Κηφισόδωρος	Kèphisodôros, (h.)
Κηφισός	le Kèphisos (Céphise) (fl.)
Κιθαιρωνίς	du Cithéron
Κιθαιρών	le Kithæron (Cithéron)
Κιθαιρώνειος	du Cithéron
Κιθαιρώνιος	du Cithéron
Κικυννεύς	habitant ou originaire du dème Kikynna
Κικυννοῖ	dans le dème Kikynna
Κιλίκιος	de Cilicie
Κιμμέριος	des Cimmériens
Κιμμερικός	des Cimmériens
Κιμωλία	de Kimôlos
Κινύρης	Kinyras
Κιρραῖος	de Cirrha
Κισσίδας	Kissidas
Κισσηΐς	la fille de Kissée, Hékabè (Hécube) ; la fille de Kissès (Théano)
Κισσῆς	Kissès
Κιτιόν	Kition, (v.)
Κλάρος	Klaros (auj. ruines près de Ahmetbeyli) (v.)
Κλέανδρος	Kléandros, (Cléandre) (h.)
Κλέανθης	Kléanthès (Cléanthe)
Κλέαρχος	Kléarkhos (Cléarque)
Κλέοβις	Kléobis
Κλέομμις	Kléommis
Κλέων	Kléôn (Cléon)
Κλήσων	Klèsôn, (h.)
Κλαζομεναί	Klazomènes (auj. Urla) (v.)
Κλαυδιανός	Claudianus, (h. rom.)
Κλαύδιος	Claudius, (h. rom.)
Κλεάδης	Kléadès, (h.)
Κλεάνθης	Kléanthès (Cléanthe)
Κλεάνωρ	Kléanor, (h.)
Κλεάρετος	Kléarétos, (h.)
Κλείδημος	Kléidèmos, (h.)
Κλείδικος	Kleidikos, (h.)
Κλείταρχος	Kleitarkhos (Clitarque)
Κλείτη	Kleitè, (f.)
Κλείτωρ	Kleitôr
Κλεαίνετος	Kléænétos, (h.)
Κλεανδρίδας	Kléandridas, (h.)
Κλεαρίδας	Kléaridas, (h.)
Κλειγένης	Kleigénès, (h.)
Κλεινίης	Kleinias (Clinias)
Κλειναρέτη	Kleinarétè, (f.)
Κλεινόμαχος	Kleinomakhos, (h.)
Κλεισθένης	Kleisthénès
Κλειτή	Kleitè, (f.)
Κλειτοφῶν	Kleitophôn, (h.)
Κλειτόδικος	Kleitodikos, (h.)
Κλειτόμαχος	Kleitomakhos, (h.)
Κλειτώνυμος	Kleitônymos, (h.)
Κλειώ	Kleiô (Clio)
Κλεοβουλίνη	Kléoboulinè, (f.)
Κλεογένης	Kléogénès, (h.)
Κλεοδίκη	Kléodikè, (f.)
Κλεομένης	Kléoménès
Κλεομήδης	Kléomèdès
Κλεονίκη	Kléonikè, (f.)
Κλεοπτόλεμος	Kléoptolémos, (h.)
Κλεοσθένης	Kléosthénès, (h.)
Κλεοφῶν	Kléophôn
Κλεοχάρης	Kléokharès, (h.)
Κλεωναί	Kléônes
Κλεωναῖος	qui concerne Kléônes, de Kléônes ; originaire ou habitant de Kléônes
Κλεϊππίδης	Kléippidès
Κλεόβουλος	Kléoboulos (Cléobule)
Κλεόδαιος	Kléodæos, (h.)
Κλεόδημος	Kléodèmos, (h.)
Κλεόκριτος	Kléokritos, (h.)
Κλεόλαος	Kléolaos, (h.)
Κλεόμαχος	Kléomakhos, (h.)
Κλεόμβροτος	Kléombrotos
Κλεόνικος	Kléonikos, (h.)
Κλεόπομπος	Kléopompos, (h.)
Κλεόστρατος	Kléostratos, (h.)
Κλεόφαντος	Kléophantos, (h.)
Κλεώ	Kleiô (Clio)
Κλεώνυμος	Kléônymos, (h.)
Κλεῖτος	Kleitos (Clitus) (h.)
Κλησώ	???? Renvoi sans Issue ????
Κλονίη	Kloniè
Κλονίος	Klonios, (h.)
Κλονᾶς	Klonas, (h.)
Κλούσιον	Chiusi (v.)
Κλυμένη	Klyménè (Clymène)
Κλυτίδης	fils ou descendant de Klytios
Κλυτίη	Klytia, (f.)
Κλυτίος	Klytios, (h.)
Κλυταιμνήστρα	Clytemnestre, Clytémestre
Κλυτιάδης	fils ou descendant de Klytios
Κλυτομήδης	Klytomèdès, (h.)
Κλυτόνηος	Klytonèos, (h.)
Κλωθώ	Klôthô
Κλόνιος	Klonios, (h.)
Κλύτιος	Klytios, (h.)
Κλύτος	dont on entend parler
