@Αἰάντειος	d'Ajax,	of Ajax
@Κράνειον	Kraneion,	fruit of
@Κράντωρ	Krantôr, (h.)	ruler, sovereign
@Κράτος	la Force	strength, might
@Κρήτη	î. de Crète (auj. Kríti, Candia) 	from Crete
@Κραναός	Kranaos,	rocky, rugged
@Κρατήτειος	de Cratès,	of Crates
@Κρατίνειος	de Cratinus,	used by
@Κρατερός	Kratéros (Cratère) :	strong, stout, mighty
@Κρείων	see <lang="grc">Κρέων</grc>	ruler, lord, master
@Κρητικός	de Crète, crétois, 	in Cretan fashion
@Κριτιάζω	imiter Kritias,	imitate the style of Critias
@Κριός	Krios :	ram
@Κροκάλη	Krokalè, (f.)	sea-shore, beach
@Κρονίδης	fils de Kronos (Zeus)	son of Cronos
@Κρονίων	le fils de Kronos (Zeus)	son of Cronos
@Κρονότεκνος	père de Kronos,	father of Cronos
@Κρόνιππος	vieille rosse,	an old dotard
@Κρύσταλλος	Krystallos,	ice
@Κρύφιος	Kryphios (l'écueil) caché (dans le Scamandre)	hidden, concealed
@Κτήσιος	Ktèsios,	belonging to property
@Κτήσιππος	Ktèsippos. (h.)	possessing horses
@Κτῆσις	Ktèsis, (h.)	acquisition
@Κυάνεαι	les Cyanées (auj. Yavu) les Roches noires ou d'un bleu sombre,	Dark-rocks
@Κυαμῖτις	Marché aux fèves,	bean-market
@Κυδωνιάτης	habitant de Kydônia,	inhabitant of Cydonia
@Κυδώνιος	de Kydônia,	quinces
@Κυθηροδίκης	juge pour Cythère,	Spartan magistrate sent annually to govern the island of Cythera
@Κυκλωπικῶς	à la manière des Cyclopes,	like the Cyclopes
@Κυκλώπειος	see <lang="grc">Κυκλώπιος</grc>	uncivilized
@Κυκλώπιον	petit Cyclope,	white round the ball of the eye
@Κυλλήνη	Kyllènè (Cyllène) :	Cyllene, a mountain in Arcadia
@Κυματολήγη	Kymatolègè, « qui apaise les vagues »,	Wave-stiller
@Κυμοδόκη	Kymodokè (qui reçoit les flots),	Wave-receiver
@Κυμοθόη	Kymothoè (rapide comme les flots)	Wave-swift
@Κυμοπόλεια	Kymopoleia (qui va à travers les flots)	Wave-walker
@Κυνίσκος	Kyniskos, (h.)	puppy
@Κυναμολγοί	« qui traient les chiennes »,	dog-milkers
@Κυνόσουρα	Kynosoura, « queue de chien » :	dog's-tail
@Κυνώ	Kynô, « la chienne », (f.)	bitch
@Κυπάρισσος	Kyparissos, (v.)	cypress, Cupressus sempervirens
@Κυπρογενής	né à Chypre,	Cyprus-born
@Κυρτών	Kyrtôn, pêcheur à la nasse,	hunchback
@Κυψελίδαι	descendants de Kypsélos,	descendants of Cypselus
@Κωκυτίς	du Cocyte,	born from Cocytus
@Κωρυκιώτης	le dieu du Parnasse,	of Corycus
@Κόδρος	Kodros (Codrus) :	old-fashioned persons
@Κόνναρος	Konnaros, (h.)	Zizyphus Spina-Christi
@Κόννος	Konnos, (musicien)	trinket
@Κόπρειος	du dème attique Kopros,	full of dung, filthy
@Κόραξ	Korax, le corbeau :	raven, Corvus corax
@Κόρη	Korè, la jeune fille (de Dèmèter),	girl
@Κόρινθος	Corinthe, (v.)	at
@Κόρυς	Korys, (fl.)	helmet
@Κόσσος	Cossus, (h. rom.)	box on the ear, cuff
@Κόσσυφος	Kossyphos, (h.)	Gloss.), blackbird, Turdus merula
@Κόττος	Kottos,	horse
@Κύθηρα	Kythères (Cythère, Kýthira, Cerigo) (île)	from Cythera
@Κύκνειος	de Kyknos,	of a swan
@Κύκνος	Kyknos,	swan, Cycnus olor
@Κύλλαρος	Kyllaros,	hermit-crab, Pagurus
@Κύπριος	de Chypre, 	of Cyprus, Cyprian
@Κύπρος	Chypre (auj. Kýpros, Kibris) (île)	from Cyprus
@Κύρειος	de Cyrus, 	of Cyrus
@Κύριος	Kyrios, (h.)	having power or authority over
@Κύρνος	Kyrnos :	a nest of robbers
@Κώρυκος	Kôrykos (auj. cap Curco)	spying out
@Κώταλος	Kôtalos, (h.)	a musical air
@Κῦρος	Kyros (Cyrus)	the elder Cyrus
@Κῶμος	Kômos (Comus)	revel, carousal, merry-making
@Κῶς	l'î. de Kôs (auj. Kos, Stanchio)	to Cos
@Κῷος	see <lang="grc">Κώϊος</grc>	of, from the island
@Λάλος	Lalos, (h.)	talkative, babbling, loquacious
@Λάμαχος	Lamakhos :	sapula
@Λάμια	Lamia :	a fabulous monster said to feed on man's flesh
@Λάμος	Lamos,	ingluvies
@Λάμπουρος	Lampouros, à la queue brillante,	bright-tailed
@Λάρισα	Larisa :	citadel
@Λάρος	Lars,	sea-mew, gull
@Λάτιον	droit de cité latin	jus Latii
@Λάχεσις	Lakhésis,	Disposer of lots
@Λέαινα	Léæna, (f.)	lioness
@Λέων	Léôn (Léon) :	lion
@Λήθη	le Lèthè, (fl.)	forgetting, forgetfulness
@Λήκυθος	Lèkythos, (Líkythos)	oil-flask
@Λίγυς	habitant de la Ligurie, Ligurien,	bastard lovage, Laserpitium Siler
@Λίμνη	Limnè,	pool of standing water
@Λαέρτης	Laërte,	ant
@Λακωνικός	de Laconie ; de Lacédémonien ou de Lacédémone,	Laconian shoes
@Λαμαχίππιον	chevalier Lamakhos,	little jockey-Lamachus
@Λαμπάς	Lampas,	@
@Λαμπτήρια	fête des flambeaux,	feast of Dionysus
@Λαοδάμας	Laodamas, (h.)	subduer of peoples
@Λαομέδων	Laomédon,	ruler of the people
@Λασιών	Lasiôn, (v.)	thicket
@Λαφύστιος	Laphystios, le dévorant :	gluttonous
@Λαύρειον	Laureion ou Laurion,	of Mt. Laurium
@Λειχήνωρ	Lèche-homme,	Lick-man
@Λειώδης	Leiôdès, (h.)	smooth, even
@Λεξιφάνης	Lexiphanès, qui fait étalage de mots :	Phrase-monger
@Λευκιππίδες	les filles de Leukippos,	daughters of Leucippus
@Λευκοθέα	Leukothéa,	the white goddess
@Λευκόλοφος	Leukolophos, (h.)	white-crested
@Λεύκασπις	Leukaspis, (h.)	white-shielded
@Λεύκιππος	Leukippos, (h.)	riding or driving white horses
@Ληναῖος	le dieu du pressoir, Dionysos,	belonging to the wine-press
@Λητογενής	né de Latone,	born of Leto
@Λητώ	Lêtô (Latone)	of or born from Leto
@Λιμναῖος	Limnæos, « des marais » :	of or from the marsh
@Λιπάρα	Lipara (auj. Lipari) (île) 	of Lipara
@Λοκριστί	à la manière des Locriens,	in Locrian manner
@Λοξίας	« l'Oblique »,	the zodiac or ecliptic
@Λοχίτης	Lokhitès, (h.)	one of the same
@Λοχαγός	Lokhagos, (h.)	leader of an armed band
@Λοχεία	see <lang="grc">λοχεῖος</grc>	child-birth, childbed
@Λυδία	see <lang="grc">Λύδιος</grc>	a history of Lydia
@Λυδός	Lydos, (h.)	a Lydian
@Λυκία	Lycie,	from Lycia
@Λυκαονία	Lycaonie,	in Lycaonian
@Λυκιάρχης	magistrat suprême de Lycie,	president of the
@Λυκόποδες	« Pieds-de-loup »:	barefoot
@Λυκόφρων	Lycophron :	wolf-minded
@Λυσάνδρια	fête à Samos en l'honneur de Lysandre,	festival in honour of Lysander
@Λυσίμαχος	Lysimakhos (Lysimaque)	ending strife
@Λυσανίας	Lysanias, (h.)	ending sorrow
@Λυσιμάχειος	de Lysimaque :	of Lysimachus
@Λυχνόπολις	la Ville des lampes ou des lanternes,	city of lamps
@Λόγχη	Lonkhè,	@
@Λόρδων	démon ou génie de la lubricité,	the demon of impure
@Λόχος	Lokhos,	ambush
@Λύγος	Lygos, (h.)	agnus castus, Vitex Agnus-castus, withy
@Λύδιος	de Lydie,	of Lydia, Lydian
@Λύκειον	le Lycée,	the Lyceum
@Λύκος	Lykos (Loup)	wolf
@Λᾶος	Laos, (v.)	stone
@Λῆμνος	Lemnos (auj. Límnos, Staliméni) (île)	from Lemnos
@Μάγδωλος	Magdôlos, (v.)	watch-tower
@Μάγνης	de Magnésie :	the magnet
@Μάκαρ	Makar, (h.)	blessed, happy
@Μάκρος	Macer, (h. rom.)	length
@Μάκρων	Macer, (h. rom.)	longhead
@Μάμερτος	Mamertos,	Mamers, = Mavors, Mars
@Μάνης	Manès,	cup
@Μάρδος	Mardos,	flute
@Μάρτιος	de Mars :	Martius, the month of March
@Μάστειρα	Masteira (f. ou v.)	demanding vengeance
@Μάχιμος	Belliqueuse,	fit for battle, warlike
@Μέγαρα	Mégare (auj. Mégara) (v.)	to Megara
@Μέγας	Mégas, (h.)	big
@Μέλας	Mélas, « le Noir » :	black, dark
@Μέλισσα	Mélissa, (f.)	madhu-lih-
@Μέμνων	Memnôn :	the Steadfast
@Μένανδρος	Ménandre :	awaiting a man
@Μέρμερος	Merméros, (h.)	baneful
@Μέροψ	Mérops :	dividing the voice
@Μέσης	le Mésès, et	a wind between
@Μέταλλον	Métallon, (v.)	mine, quarry
@Μήλιος	de Mèlos :	from the island of Meios, Melian
@Μήστωρ	Mèstôr, (h.)	adviser, counsellor
@Μίδας	Midas :	the luckiest throw
@Μίτρα	Mitra,	@
@Μίτυς	Mitys,	propolis
@Μαίναλον	Mænalon (auj. Ménalo)	Mount Maenalus
@Μαζουσία	Mazousia,	breast-shaped
@Μαιμάκτης	le dieu des tempêtes, du mauvais temps, «l'impétueux, le violent »,	boisterous, stormy
@Μαιωτιστί	à la manière des Scythes,	in Scythian fashion
@Μαιῶται	les Mæôtes,	the Palus Maeotis, Sea of Azof
@Μακάριος	Makarios, (h.)	blessed, happy
@Μακαρία	Makaria, (f.)	happiness, bliss
@Μαλλός	Mallos (auj. Kızıltahta) (v.)	flock of wool
@Μαμωνᾶς	Mamon,	wealth
@Μανία	Mania, (f.)	@
@Μανικός	qui concerne Manis,	of or for madness, mad
@Μαραθών	Marathon (auj. Marathónas),	overgrown with fennel
@Μαριανδυνία	pays des Mariandynes,	wild, barbaric
@Μαριεύς	de Marion, (v.)	a stone that takes fire when water is poured on it
@Μαρῖνος	Marīnus, (auteur d’une vie de Proclus et poète de l’Anthologie.)	sea-fish
@Μαῖα	Mæa :	@
@Μαῖρα	Mæra, « la Chienne » :	the Sparkler
@Μεγακλεής	Mégakléès, Mégaklès, (h.)	very famous
@Μεγαλοπολίτης	originaire ou habitant de Mégalopolis, Mégalopolitain, 	citizen of a large city
@Μεγαλώνυμος	Mégalônymos, (h.)	with a great name, giving glory
@Μεγαρεύς	Mégarée,	citizen of Megara
@Μεγαρικός	de Mégare, 	Megarian pottery
@Μεγαριστί	dans le dialecte mégarien,	in the Megarian dialect
@Μεγαροῖ	à Mégare,	at Megara
@Μεγαρόθεν	de Mégare,	from Megara
@Μεθύδριον	Méthydrion (auj. Methýđrio) (v.)	Between-waters
@Μελάμπους	Mélampous,	blackfooted
@Μελάνιππος	Mélanippos, (h.)	with black horses
@Μελία	Mélia, (f.)	manna ash, Fraxinus Ornus
@Μελίαι	les Mélies,	ash-nymphs.
@Μελαμπόδεια	la Mélampodeia (histoire de Mélampous)	festival of Melampus
@Μελητίδης	Mélètidès,	a blockhead
@Μελινοφάγοι	les Mélinophages, « mangeurs de millet »,	Millet-eaters
@Μελισσεύς	Mélissée,	bee-keeper
@Μελπομένη	Melpomène, « la Chanteuse »,	the Songstress
@Μενέλαος	Ménélaos (Ménélas) :	Abiding-men
@Μενεκράτης	Ménékratès, (h.)	abiding in strength
@Μενεπτόλεμος	Méneptolémos, (h.)	staunch in battle, steadfast
@Μεντορουργής	fait par Mentor,	wrought by Mentor
@Μεριδάρπαξ	« le voleur de portions »,	Bit-stealer
@Μεσίτης	Mésitès,	mediator, umpire, arbitrator
@Μεταγείτνια	fête du mois Metageitniôn	festival in celebration of
@Μεταγείτνιος	qui préside au mois ou aux fêtes (Apollon)	changed their neighbours
@Μηδίς	femme mède,	Median woman
@Μηδεσικάστη	Mèdésikastè,	adorned with prudence
@Μηδικός	de Mède ou de Médie, 	the Median affairs
@Μηδοκτόνος	qui tue des Mèdes ou des Perses,	Mede-slaying
@Μηλίς2	de Mèlos : 	@
@Μηλίς3	Mâlis (nymphe)	@
@Μηλιεύς	de Mèlis, 	inhabitant of Malis
@Μηνίσκος	Mèniskos,	lunar crescent
@Μηριόνης	Mèrionès, (h.)	pudenda muliebria
@Μητρόπολις	Mètropolis :	mother-state
@Μιλήσιος	de Milet, 	the Milesians
@Μνήμη	Mnèmè :	remembrance, memory
@Μνήμων	Mnèmôn (Mnémon)	mindful
@Μνημοσύνη	Mnèmosynè,	remembrance, memory
@Μνησίθεος	Mnèsithéos, (h.)	remembering God
@Μορφεύς	Morphée, « celui qui reproduit les formes »,	forms
@Μουνυχία	see <lang="grc">Μουνιχία, Μουνιχίαζε</grc>	inhabitant of the place
@Μουσάριον	Mousarion, (f.)	eye-salve
@Μουσαγέτας	see <lang="grc">Μουσηγέτης</grc>	leader of the Muses
@Μουσεῖον	Mouseion (Muséum) :	shrine of the Muses, seat or haunt of the Muses
@Μοψοπία	Mopsopie,	the Athenians
@Μοῖρα	le Destin personnifié, 	part
@Μυκήνη	Mykènè (Mycène) :	Mycene, Mycenae
@Μυρίανδρος	Myriandros, (v.)	containing
@Μυσός	de Mysie 	a prey to all
@Μυῖα	Myia, « la Mouche », (f.)	fly
@Μόρος	Moros :	fate, destiny
@Μόρσιμος	Morsimos, (h.)	appointed by fate, destined
@Μόρυχος	Morykhos,	smeared
@Μόσχος	Moskhos (Moschus) :	@
@Μύκονος	Mykonos (auj. Mýkonos)	it's all one, all alike
@Μύρμηξ	Myrmèx ;	ant
@Μύρρα	Myrrha,	murru.
@Μύρσινος	Myrsinos, (v.)	of myrtle
@Μύρσος	Myrsos :	basket
@Μύστις	Mystis :	initiate or initiator
@Μῆδος	Médos (h.)	Mede, Median
@Μῆδος1	Médos (h.)	@
@Μῆνιγξ	Mèninx (auj. Djerba, Méninx) (île)	membrane
@Μῆνις	Mènis,	wrath
@Μῆτις	Mètis, « la Sagesse »,	wisdom, skill, craft
@Μῦς	Mys, (h.)	mouse or rat
@Μῶλος	Môlos, (h.)	toil and moil
@Μῶμος	Mômos,	blame, reproach, disgrace
@Νάπη	Napè, (f.)	woodland vale, dell, glen
@Νάρκισσος	Narkissos (Narcisse)	narcissus
@Νέανδρος	Néandros, (h.)	a young warrior
@Νέμεσις	Némésis :	distribution of what is due
@Νέστωρ	Nestor :	Nestor
@Νήγρετος	Nègrétos,	unwaking
@Νήρειος	de Nérée :	of Nereus
@Νήριτος	Nèritos,	countless, immense
@Νίκη	Nikè, la Victoire personnifiée,	@
@Ναιάς	Naïade,	Naiad, river-nymph, spring-nymph
@Ναννάριον	Nannarion, (f.)	prodigal
@Ναυκράτης	Naukratès, (h.)	holding a ship fast
@Ναυπλία	Nauplia (auj. Náfplio ou Anápli)	a Nauplian
@Ναύπακτος	Naupaktos, Naupacte (auj. Náfpaktos, Lepanto) (v.)	Naupactus
@Ναύπλιος	Nauplios, (h.)	shell-fish
@Νεάπολις	Néapolis Nouvelle Ville ou Quartier Neuf,	new city
@Νειλογενής	enfanté par le Nil,	Nile-born
@Νειλοθερής	brûlé par l'air et le soleil du Nil,	burnt by the Nile
@Νειλομέτριον	nilomètre,	Nilometer
@Νειλόρυτος	arrosé par le Nil,	watered by the Nile
@Νειλώτης	qui habite ou qui se trouve sur les bords du Nil,	in or on the Nile
@Νεμέα	Némée, (v.)	wooded district
@Νεοπτόλεμος	Néoptolémos (Néoptolème) :	New-warrior
@Νερώνεια	fête en l'honneur de Néron,	festival of Nero
@Νεστορίς	de Nestor,	cup
@Νεφελοκοκκυγία	ville des coucous dans les nuages, bâtie par les coucous dans les nuages,	Cloudcuckoo-town
@Νεφελοκοκκυγιεύς	habitant de la Ville des Coucous dans les nuages,	Cloud-cuckoo-town-man
@Νεῖλος	le Nil, (fl.)	Nile
@Νηλεύς	Nèlée :	Neleus
@Νημερτής	Nèmertès, la véridique ou l'infaillible,	unerring, infallible
@Νηρεύς	Nèrée (Nérée)	Nereus
@Νησιώτης	l'Insulaire, (h.)	islander
@Νικοτέλεια	Nikotéléia, (f.)	celebration of victory
@Νικόλαος	Nikolaos, (h.)	date
@Νοήμων	Noèmôn, (h.)	thoughtful, intelligent
@Νομάς	de Numidie, 	roaming about for pasture
@Νομαδία	la Numidie,	pasturage, steppe
@Νομαδικός	de Numidie,	of or for a herdsman's life, pastoral
@Νουμήνιος	Noumènios, (h.)	used at the new moon
@Νυκτιπόρος	Nyktiporos, (fl.)	prowling by night
@Νυμφίδιος	Nymphidius, (h.)	bridal
@Νυμφαία	Nymphæa, (île)	yellow water-lily, Nuphar luteum
@Νυμφαῖος	Nymphæos, (h.)	of or sacred to the Nymphs
@Νόμιος	Nomios,	@
@Νόννος	Nonnos,	Fouilles de Doura-Europos
@Νύξ	la Nuit	night
@Νύσσα	Nyssa,	turning-post
@Νύχιος	Nykhios, (h.)	nightly
@Νῆσος	Nèsos, l'Île :	island
@Νῦσα	Nysa,	Nysa
@Ξ	xi, 14e lettre de l'alphabet grec. Comme signe numéral	samech
@Ξάνθη	Xanthè,	a pale-coloured stone
@Ξανθίας	(le blond) Xanthias, (h.)	Xanthias
@Ξενίς	Xénis, (f.)	road leading abroad
@Ξενοφῶν	Xénophon :	of or by X.
@Ξενότιμος	Xénotimos, (h.)	honouring strangers
@Ο	omicron o petit, bref, 15e lettre de l'alphabet grec. Comme chiffre 	little or short o
@Οἰδίπους	Œdipe,	Oedipus
@Οἰνάνθη	Œnanthè, (f.)	inflorescence of the grape-vine
@Οἰνάς	Œnade,	the vine
@Οἰναρέα	Œnaréa, (v.)	vine-leaf
@Οἰνοχάρων	le Charon du vin,	Wine-Charon
@Οἰνόη	Œnoè :	OenoÃ«
@Οἰχαλία	Œkhalia,	from Oechalia
@Οἰωνός	Œônos, (h.)	a large bird, bird of prey
@Οἴαξ	Œax,	handle of rudder, tiller
@Οἴτη	l'Œtè ou Œta :	of Oeta
@Οἶνος	Œnos, (h.)	wine
@Οἶνοψ	Œnops,	wine-coloured
@Οἶον	Œon,	Oeum
@Οἶος	Œos, (v.)	alone, lonely
@Οὐράνιος	Ouranios, (h.)	heavenly, dwelling in heaven
@Οὐρανία	Uranie (Ourania la Céleste) :	the moon
@Οὐρανός	Ouranos,	heaven
@Οὔτις	Personne,	no one or nobody
@Οὔτις1	Personne,	no one or nobody
@Πάδος	le Pô, (fl.)	Prunus Mahaleb
@Πάλλας	Pallante :	youth
@Πάμφιλος	Pamphilos, (h.)	beloved of all
@Πάμφυλος	Pamphylos,	of mingled tribes or races
@Πάν	Pan, 	@
@Πάνδια	fête en l'honneur de Zeus,	a festival of Zeus
@Πάνδοκος	Pandokos,	all-receiving, common to all
@Πάνορμος	Panorme,	its people
@Πάππος	Pappos, (h.)	grandfather
@Πάραλος	Paralos, (h.)	by or near the sea
@Πάρθοι	les Parthes,	the Parthians
@Πάρος	Paros (auj. Páros)	Paros
@Πάτρων	Patrôn, (h.)	patronus
@Πάχης	Pakhès,	fleshy, stout
@Πέλαγος	Pélagos,	the sea
@Πέλλα	Pella (auj. Pélla), (v.)	wooden bowl, milk-pail
@Πέλωρον	le cap Pélôron (auj. cap Peloro ou punta del Faro)	portents
@Πέργαμον	Pergamon (Pergame)	citadel, acropolis
@Πέρδιξ	Perdix,	partridge
@Πέρσης	Persès :	a Persian; Perses (pr.n.)
@Πέτρα	Pétra, la Roche :	rock
@Πέτρος	Pierre :	stone
@Πήγασος	Pégase,	Pro Quinct.
@Πήληξ	habitant du dème Pèlèkes,	helmet
@Πήλιον	le Pélion (auj. Pílio)	on or at the foot of Pelion
@Πήρα	Pèra,	leathern pouch
@Πίθος	Pithos, (h.)	large wine-jar
@Πίτυς	Pitys,	pine
@Παίονες	see <lang="grc">Παίων1</grc>	their land
@Παιάν	Péan,	physician, healer
@Παιδεία	l'Éducation (de Cyrus), la Cyropédie,	rearing of a child
@Παλάτιον	le mt Palatin,	Palatium, the Palatine Hill
@Παλαίμων	Palæmôn, le lutteur :	temple of Palaemon
@Παλαίστρα	Palæstra,	wrestling-school
